date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:47:30	325/325	---MCZ	200	added ('OK')	text/plain	date:Mon,%2024%20Jun%202019%2022:47:28%20GMT	https://www.aditi-surana.com/robots.txt		(from )
18:47:30	52818/52818	---M-Z	200	added ('OK')	text/html	etag:W/%22ffd2e505526c1a1fa0e91b04d8098ce0%22	https://www.aditi-surana.com/	C:/My%20Web%20Sites/UIPortfolio/www.aditi-surana.com/index.html	(from )
18:47:32	19710/19710	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2024%20Jun%202019%2022:47:30%20GMT	http://use.typekit.net/ik/pjBV1HjbynGEoCj4LEJdSzLdihGI4Ew8RqT2R1zj1tqfeTXffFHN4UJLFRbh52jhWD9hjQ4R52icZcbuZ2MtZRgRwA4qZ2JhFs7yMPG0jAsTieqlSamkjAoyOAs8Sh81dKoDSWmyScmDSeBRZPoRdhXCjAsTieqlSamkjAoyOAs8Sh81dKoDSWmyScmDSeBRZPoRdhXCjAsTieqlSamkjAoyOcFzdPUCdhFydeyzSabCiaiaOcBq-WsTOWFuScB0jPuqZWFTZht0SaBujW48Sagyjh90jhNlOYiaikoyZe8X-PuDiW4ydcI0jhNlJ6Z8iW4zSeI7fbKTpsMMeMw6MKG4fHToIMMjgfMfH6qJ7YqbMg6YJMJ7f6RRy6IbMg6FJMJ7f6Rqy6IbMg65JMJ7f6R8y6IbMg6sJMHbMZaG8pIB.js	C:/My%20Web%20Sites/UIPortfolio/use.typekit.net/ik/pjBV1HjbynGEoCj4LEJdSzLdihGI4Ew8RqT2R1zj1tqfeTXffFHN4UJLFRbh52jhWD9hjQ4R52icZcbuZ2MtZRgRwA4qZ2JhFs7yMPG0jAsTieqlSamkjAoyOAs8Sh81dKoDSWmyScmDSeBRZPoRdhXCjAsTieqlSamkjAoyOAs8Sh81dKoDSWmyScmDS	(from https://www.aditi-surana.com/)
18:47:33	921/921	---M--	200	added ('OK')	application/rss+xml	etag:W/%229ef03cf4e6dd7297c850905fe8c71c99%22	http://www.aditi-surana.com/featured?format=RSS	C:/My%20Web%20Sites/UIPortfolio/www.aditi-surana.com/featuredcecb	(from https://www.aditi-surana.com/)
18:47:33	49258/49258	---M-Z	200	added ('OK')	text/javascript	etag:%22239a1d34f9966f640404831d464b3dd0%22	http://assets.squarespace.com/universal/scripts-compressed/performance-dbf2ea7b298afd5ae79d-min.en-US.js	C:/My%20Web%20Sites/UIPortfolio/assets.squarespace.com/universal/scripts-compressed/performance-dbf2ea7b298afd5ae79d-min.en-US.js	(from https://www.aditi-surana.com/)
18:47:34	1031285/1031285	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Jun%202019%2022:47:32%20GMT	http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false	C:/My%20Web%20Sites/UIPortfolio/static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site8696.css	(from https://www.aditi-surana.com/)
18:47:36	57121/57121	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202019%2022:47:29%20GMT	http://static1.squarespace.com/static/56a2c87ffd5d08f0c1bdd265/t/586eb747be6594236ee7c9e0/1483650889121/logocolor.png?format=1500w	C:/My%20Web%20Sites/UIPortfolio/static1.squarespace.com/static/56a2c87ffd5d08f0c1bdd265/t/586eb747be6594236ee7c9e0/1483650889121/logocolor26f7.png	(from https://www.aditi-surana.com/)
18:47:43	5601/5601	---M--	200	added ('OK')	image/svg+xml	etag:W/%2203e861ef71c6c7c900e92d71b0919417%22	https://www.aditi-surana.com/assets/ui-icons.svg	C:/My%20Web%20Sites/UIPortfolio/www.aditi-surana.com/assets/ui-icons.svg	(from https://www.aditi-surana.com/)
18:47:44	47514/47514	---M-Z	200	added ('OK')	text/html	etag:W/%22a80a314436cb8bee5f6342b1cd6f3b69%22	https://www.aditi-surana.com/about	C:/My%20Web%20Sites/UIPortfolio/www.aditi-surana.com/about.html	(from https://www.aditi-surana.com/)
18:47:44	78570/78570	---M-Z	200	added ('OK')	text/html	etag:W/%220cd94149e22dcf3ca82e0dfb6c97d431%22	https://www.aditi-surana.com/carbon-current	C:/My%20Web%20Sites/UIPortfolio/www.aditi-surana.com/carbon-current.html	(from https://www.aditi-surana.com/)
